Lookback (months),CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar (MAR),Best month,Worst month,Positive months,Skewness,Excess kurtosis,Monthly VaR 5%,Excess return t-stat (NW),Months,Trades/year
3,0.12901400012848097,0.11902678610974032,0.712580994057488,1.0205834216383558,-0.23256405931332702,0.5547460794647725,0.13688138674468653,-0.2153632449822367,0.665680473372781,-0.16044853948834678,3.8708435252988416,-0.041823756650785554,4.851307912332667,676.0,4.402366863905325
4,0.12934913525644265,0.11803502631103975,0.7185524330228741,0.9360945864523907,-0.23256405931332702,0.5561871238331552,0.13553093462044763,-0.2153632449822367,0.6711111111111111,-0.5737744962703921,4.154590739423583,-0.044289219915387555,5.023620983585976,675.0,3.8577777777777778
5,0.136497053298815,0.12240546587730126,0.7472602856972059,0.9804580398591409,-0.24164054836879145,0.5648764423862066,0.13553093462044763,-0.2153632449822367,0.6735905044510386,-0.4960758478742582,3.7525365145155045,-0.045237964233220476,5.31956864370932,674.0,3.1157270029673594
6,0.1333121637825574,0.12061604504053275,0.730364240370994,0.9803311567955054,-0.2690740326465221,0.4954478976337612,0.13553093462044763,-0.1450467090540971,0.674591381872214,-0.3723359751616747,2.129221658950618,-0.045928301118146234,5.032844736915363,673.0,2.942050520059435
7,0.13106316344423474,0.11977216824201686,0.7216591372512221,0.9973179263083922,-0.1957521150462317,0.6695363848982216,0.13553093462044763,-0.1450467090540971,0.6666666666666666,-0.31790000220157183,1.9265724550728573,-0.046857453362609214,5.1049594831939356,672.0,2.2857142857142856
8,0.13696731140828744,0.12397798864743881,0.7489453815825708,1.0418830715137126,-0.22900914915881931,0.5980866350160523,0.13553093462044763,-0.1450467090540971,0.6631892697466468,-0.3145895670267185,1.7348714731676584,-0.04744237324159967,5.5337268295823945,671.0,2.07451564828614
9,0.13678791898283982,0.1250868597115929,0.7428798970437669,1.025644534412266,-0.20687969683342766,0.6611954729079901,0.13553093462044763,-0.1450467090540971,0.6626865671641791,-0.361659290342187,1.6951437100574038,-0.048269712248207586,5.655592296927106,670.0,2.077611940298507
10,0.1486416001103923,0.12483784122668214,0.8212093701512936,1.171945633395237,-0.21759306325584604,0.6831173654447772,0.13553093462044763,-0.1450467090540971,0.6696562032884903,-0.26798262260416894,1.6542193798437803,-0.04697347642493715,6.14726585770497,669.0,1.9192825112107623
11,0.14844672976907414,0.12513152808280426,0.8289880766285691,1.1906032666318447,-0.19598015483648823,0.7574579675831332,0.15332409972299166,-0.1450467090540971,0.6676646706586826,-0.19717888053072744,1.8669677242065488,-0.04701215077904645,6.0105818949181025,668.0,1.6526946107784433
12,0.15180829021471265,0.12907929315886588,0.8322776360716779,1.1795882115513832,-0.2166422531747232,0.7007326040515209,0.15332409972299166,-0.1450467090540971,0.6701649175412294,-0.2340103275938144,1.7455005219126134,-0.04765525951549959,6.190804714053483,667.0,1.4932533733133433
13,0.14130670987271232,0.12912176650749776,0.7605567127926082,1.0471320326642273,-0.24964847636939436,0.5660227209383274,0.13553093462044763,-0.1450467090540971,0.6666666666666666,-0.35289023636229544,1.56871643380912,-0.049405827639033895,5.627610684316026,666.0,1.6036036036036037
14,0.13961931785637716,0.13042030992722525,0.742761393266529,1.026388177073766,-0.24964847636939436,0.559263648978928,0.13553093462044763,-0.1450467090540971,0.6616541353383458,-0.3420977645473633,1.5083918642449796,-0.049449301005930896,5.671258628411234,665.0,1.3714285714285714
15,0.13855489068939497,0.13055757058277162,0.7348303083615807,1.0011754460118591,-0.28088054875602053,0.4932875961081485,0.13553093462044763,-0.1450467090540971,0.6671686746987951,-0.35186477981739966,1.6870027437602353,-0.04957233821817544,5.482462627416763,664.0,1.2469879518072289
16,0.1410168278415167,0.1305772010681132,0.751293045245745,1.05459654900891,-0.20647772998715308,0.6829638617699385,0.13553093462044763,-0.1450467090540971,0.6591251885369532,-0.32677625722426856,1.495616510905125,-0.04917948953632568,5.78800239338884,663.0,1.2307692307692308
17,0.12858953920634408,0.1308162728093985,0.6656580904649716,0.8969519569345293,-0.25789557722449696,0.4986108741772157,0.13553093462044763,-0.1450467090540971,0.6540785498489426,-0.40477506019956433,1.6740244407984863,-0.050211398439181286,4.992418282679113,662.0,1.287009063444109
18,0.12213735239203394,0.1300963794234185,0.6241015912339868,0.8554681598520599,-0.2705470933792563,0.45144581250710486,0.13553093462044763,-0.1450467090540971,0.6475037821482602,-0.37372251996747186,1.6108029291899215,-0.05365339754684317,4.603333535164355,661.0,1.1800302571860817
19,0.13387677794309893,0.13215222538844032,0.6959135464130453,0.9668447216327964,-0.24840712197991976,0.538940980741772,0.13553093462044763,-0.1450467090540971,0.6515151515151515,-0.3272200401528076,1.555399201757787,-0.05184217707771434,5.059154308753716,660.0,1.018181818181818
20,0.13549621192553318,0.13258271163623148,0.7050923001253019,0.9864933166946451,-0.2714696642212445,0.49912100607714827,0.13553093462044763,-0.1450467090540971,0.6585735963581184,-0.32033331369571877,1.4426769890795441,-0.05287973079759659,5.196118203486489,659.0,1.1471927162367224
21,0.12420445998640561,0.1338647718810398,0.6245764732857222,0.8295471936423032,-0.28319224093071893,0.4385870869138374,0.13553093462044763,-0.16318407960199,0.6565349544072948,-0.48752393008540496,1.8640247395580984,-0.05591093405361449,4.524496398921909,658.0,1.2583586626139818
22,0.1324683868670673,0.13397300218715608,0.6793466041610354,0.9028012979047222,-0.2831922409307186,0.46776841919011103,0.13553093462044763,-0.16318407960199,0.6621004566210046,-0.4711195958791235,1.8310814901867412,-0.05463569345777001,5.0406021991483865,657.0,1.1141552511415524
23,0.13188559859164473,0.13163230521213726,0.6851667123740065,0.9078395936238864,-0.28319224093071893,0.46571049460323893,0.13553093462044763,-0.16318407960199,0.6615853658536586,-0.5038555961771561,1.951536745141409,-0.053008675255804355,5.081845890071311,656.0,1.1341463414634148
24,0.13688288179612362,0.13230733829858568,0.7159197552413031,0.9538286782242206,-0.2831922409307188,0.48335675209975526,0.13553093462044763,-0.16318407960199,0.6687022900763359,-0.46090887724204843,1.9434799469986435,-0.05206092512685903,5.392212733458887,655.0,0.9709923664122136
