Décennie,GEM CAGR,S&P 500 CAGR,Écart,GEM MaxDD,S&P 500 MaxDD
1970s,0.132831218515699,0.060930854358950404,0.07190036415674861,-0.13857123080944067,-0.4264385588641164
1980s,0.27835444392633657,0.1755186805191986,0.10283576340713796,-0.15775384696135963,-0.2957937834480856
1990s,0.19532997165121002,0.1821007863835462,0.013229185267663812,-0.15368660926919286,-0.15368660926919275
2000s,0.10477357908274287,-0.009493136337522023,0.1142667154202649,-0.18960394430726046,-0.5094872573516549
2010s,0.08969466378506952,0.13559908283556243,-0.04590441905049292,-0.1744177363513345,-0.1626249856338352
2020s,0.10175394081195233,0.15333950646294103,-0.05158556565098871,-0.216642458759982,-0.23867343690466436
