Cost per allocation change,CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar (MAR),Best month,Worst month,Positive months,Skewness,Excess kurtosis,Monthly VaR 5%,Excess return t-stat (NW),Months
0 bps,0.15180829021471265,0.12907929315886588,0.8322776360716779,1.1795882115513832,-0.2166422531747232,0.7007326040515209,0.15332409972299166,-0.1450467090540971,0.6701649175412294,-0.2340103275938144,1.7455005219126134,-0.04765525951549959,6.190804714053483,667.0
5 bps,0.1509725441535288,0.1290522169363195,0.8267364972451672,1.172211436853036,-0.21823875879941523,0.6917769555878418,0.15282409972299166,-0.1450467090540971,0.6656671664167916,-0.23309158763242108,1.7412637845410117,-0.04800525951549959,6.142118993079818,667.0
10 bps,0.1501369931454155,0.1290276458331659,0.8211770890112089,1.1648922153252133,-0.2198328236948347,0.682959853865277,0.15232409972299166,-0.1450467090540971,0.664167916041979,-0.23214591051524575,1.7368401455720353,-0.048046826863153425,6.093324691932355,667.0
25 bps,0.1476315109415951,0.12896897682838535,0.8043923089509389,1.143070452418757,-0.2246003988791968,0.6573074298990891,0.15082409972299166,-0.1450467090540971,0.6611694152923538,-0.22916044712192693,1.72245303266439,-0.048046826863153425,5.94634951828915,667.0
50 bps,0.1434596130218202,0.1289214025211438,0.7760813579077895,1.106439194943365,-0.23249777489900247,0.6170364988832231,0.14832409972299165,-0.1450467090540971,0.656671664167916,-0.2237705085476116,1.6948003519919252,-0.048046826863153425,5.699770148956599,667.0
100 bps,0.13513048647412695,0.12901466607330067,0.7183461238062098,1.0326474346561079,-0.24811145729103556,0.5446362209529826,0.14332409972299165,-0.1450467090540971,0.6461769115442278,-0.2120563356317227,1.6262790118790695,-0.04859886512156392,5.203134640301274,667.0
