,CAGR,Volatility,Max drawdown,Correlation with GEM,Excess over S&P 500 (bps)
S&P 500,0.11274080921347118,0.15203166583639088,-0.5094872573516548,0.6730561058351535,0.0
Static mix 46/28/25,0.10032376283544031,0.11328965915584036,-0.41943884909282514,0.742639518159357,-124.17046378030872
GEM,0.15180829021471265,0.12907929315886588,-0.2166422531747232,1.0,390.67481001241464
